#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=100 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:55.90 aq:44.26 tex:6272 mv:5010 misc:134 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:56.42 aq:48.59 tex:79 mv:115 misc:318 imb:3 pmb:11 smb:3586 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:56.42 aq:49.63 tex:31 mv:36 misc:253 imb:0 pmb:4 smb:3596 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:56.42 aq:46.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:56.42 aq:48.83 tex:25 mv:6 misc:233 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:56.08 aq:45.06 tex:187 mv:199 misc:358 imb:17 pmb:8 smb:3575 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:56.25 aq:49.06 tex:39 mv:19 misc:262 imb:0 pmb:3 smb:3597 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:56.33 aq:49.38 tex:26 mv:15 misc:239 imb:0 pmb:2 smb:3598 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:56.16 aq:48.40 tex:26 mv:6 misc:232 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:55.13 aq:46.02 tex:251 mv:174 misc:359 imb:11 pmb:12 smb:3577 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:55.60 aq:44.00 tex:1 mv:21 misc:258 imb:0 pmb:2 smb:3598 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:55.84 aq:48.00 tex:26 mv:5 misc:233 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:55.37 aq:49.07 tex:51 mv:15 misc:254 imb:0 pmb:4 smb:3596 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:50.37 aq:34.80 tex:4846 mv:3081 misc:1513 imb:1683 pmb:86 smb:1831 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:52.75 aq:38.00 tex:2 mv:34 misc:268 imb:0 pmb:3 smb:3597 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:53.94 aq:41.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:51.56 aq:44.92 tex:34 mv:15 misc:239 imb:0 pmb:2 smb:3598 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:47.45 aq:33.00 tex:7026 mv:3274 misc:1868 imb:1020 pmb:195 smb:2385 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:48.91 aq:33.00 tex:1 mv:19 misc:252 imb:0 pmb:2 smb:3598 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:49.64 aq:35.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:48.18 aq:33.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:47.34 aq:37.65 tex:2349 mv:1345 misc:1122 imb:103 pmb:112 smb:3385 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:47.40 aq:31.00 tex:1 mv:69 misc:274 imb:0 pmb:6 smb:3594 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:47.42 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:47.37 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:47.37 aq:38.31 tex:1979 mv:1385 misc:1036 imb:86 pmb:103 smb:3411 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:47.36 aq:31.00 tex:1 mv:87 misc:288 imb:0 pmb:9 smb:3591 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:47.35 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:47.37 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:46.15 aq:33.26 tex:4598 mv:2315 misc:1559 imb:224 pmb:157 smb:3219 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:46.76 aq:40.33 tex:74 mv:125 misc:321 imb:0 pmb:14 smb:3586 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:47.07 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:46.46 aq:31.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:45.02 aq:35.11 tex:5631 mv:2244 misc:1485 imb:151 pmb:205 smb:3244 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:45.59 aq:38.57 tex:62 mv:152 misc:338 imb:0 pmb:17 smb:3583 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:45.87 aq:31.00 tex:0 mv:11 misc:229 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:45.31 aq:30.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:44.57 aq:33.74 tex:4631 mv:2131 misc:1358 imb:136 pmb:182 smb:3282 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:44.80 aq:33.04 tex:34 mv:203 misc:363 imb:0 pmb:23 smb:3577 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:44.91 aq:30.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:44.69 aq:30.00 tex:3 mv:30 misc:239 imb:1 pmb:2 smb:3597 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:44.32 aq:34.24 tex:3528 mv:2024 misc:1264 imb:105 pmb:182 smb:3313 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:44.45 aq:28.00 tex:5 mv:214 misc:373 imb:0 pmb:23 smb:3577 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:44.51 aq:36.49 tex:39 mv:25 misc:240 imb:0 pmb:3 smb:3597 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:44.39 aq:29.00 tex:0 mv:9 misc:231 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:43.93 aq:34.94 tex:3436 mv:2061 misc:1271 imb:94 pmb:191 smb:3315 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:44.12 aq:29.22 tex:54 mv:298 misc:400 imb:1 pmb:32 smb:3567 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:44.22 aq:29.00 tex:1 mv:25 misc:246 imb:0 pmb:3 smb:3597 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:44.02 aq:34.05 tex:39 mv:26 misc:247 imb:0 pmb:3 smb:3597 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:43.41 aq:34.89 tex:4219 mv:2154 misc:1243 imb:92 pmb:212 smb:3296 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:43.67 aq:36.40 tex:50 mv:271 misc:399 imb:0 pmb:28 smb:3572 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:43.80 aq:29.00 tex:2 mv:54 misc:248 imb:0 pmb:4 smb:3596 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:43.54 aq:29.00 tex:1 mv:11 misc:228 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:42.93 aq:27.76 tex:5387 mv:3657 misc:1852 imb:921 pmb:227 smb:2452 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:43.17 aq:27.00 tex:10 mv:265 misc:397 imb:0 pmb:31 smb:3569 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:43.29 aq:28.00 tex:1 mv:21 misc:226 imb:0 pmb:2 smb:3598 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:43.05 aq:28.00 tex:0 mv:9 misc:231 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:42.57 aq:32.14 tex:5433 mv:2936 misc:1471 imb:200 pmb:252 smb:3148 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:42.75 aq:35.20 tex:106 mv:384 misc:454 imb:0 pmb:43 smb:3557 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:42.84 aq:38.83 tex:42 mv:25 misc:245 imb:0 pmb:3 smb:3597 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:42.66 aq:28.00 tex:0 mv:21 misc:235 imb:0 pmb:2 smb:3598 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:42.50 aq:34.14 tex:3691 mv:2048 misc:1205 imb:67 pmb:213 smb:3320 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:42.53 aq:26.00 tex:10 mv:386 misc:468 imb:0 pmb:46 smb:3554 d:- ref:0 ;
